id,name,team,position,overall,pace,shooting,passing,dribbling,defending,physical,nation,league,age,weak_foot,skill_moves,image_url
209331,Mohamed Salah,Liverpool,RM,91,89,88,86,90,45,76,Egypt,Premier League,33,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/209331_en.webp
231747,Kylian Mbappé,Real Madrid,ST,91,97,90,81,92,37,76,France,LALIGA EA SPORTS,27,4,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231747_en.webp
231443,Ousmane Dembélé,Paris SG,ST,90,91,88,83,93,50,69,France,Ligue 1 McDonald's,28,5,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231443_en.webp
231866,Rodri,Manchester City,CDM,90,65,80,86,84,86,85,Spain,Premier League,29,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231866_en.webp
203376,Virgil van Dijk,Liverpool,CB,90,73,60,72,72,90,87,Holland,Premier League,34,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/203376_en.webp
252371,Jude Bellingham,Real Madrid,CAM,90,80,86,83,90,78,85,England,LALIGA EA SPORTS,22,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/252371_en.webp
239085,Erling Haaland,Manchester City,ST,90,86,91,70,80,45,88,Norway,Premier League,25,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239085_en.webp
233419,Raphinha,FC Barcelona,LM,89,91,84,85,87,53,75,Brazil,LALIGA EA SPORTS,29,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/233419_en.webp
235212,Achraf Hakimi,Paris SG,RB,89,92,79,82,83,82,79,Morocco,Ligue 1 McDonald's,27,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/235212_en.webp
277643,Lamine Yamal,FC Barcelona,RM,89,85,81,86,90,23,53,Spain,LALIGA EA SPORTS,18,3,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/277643_en.webp
255253,Vitinha,Paris SG,CM,89,72,80,86,90,75,70,Portugal,Ligue 1 McDonald's,26,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/255253_en.webp
230621,Gianluigi Donnarumma,Manchester City,GK,89,90,83,70,90,52,87,Italy,Premier League,27,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230621_en.webp
251854,Pedri,FC Barcelona,CM,89,77,73,85,91,78,77,Spain,LALIGA EA SPORTS,23,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/251854_en.webp
212622,Joshua Kimmich,FC Bayern München,CDM,89,72,74,89,84,83,79,Germany,Bundesliga,31,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212622_en.webp
212831,Alisson,Liverpool,GK,89,86,85,86,89,56,90,Brazil,Premier League,33,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212831_en.webp
202126,Harry Kane,FC Bayern München,ST,89,64,92,83,82,48,82,England,Bundesliga,32,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/202126_en.webp
239053,Federico Valverde,Real Madrid,CM,89,88,84,84,84,83,85,Uruguay,LALIGA EA SPORTS,27,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239053_en.webp
238794,Vini Jr.,Real Madrid,LW,89,95,84,81,91,29,69,Brazil,LALIGA EA SPORTS,25,4,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/238794_en.webp
256630,Florian Wirtz,Liverpool,CAM,89,80,82,88,90,54,67,Germany,Premier League,22,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256630_en.webp
192119,Thibaut Courtois,Real Madrid,GK,89,85,89,76,90,46,88,Belgium,LALIGA EA SPORTS,33,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192119_en.webp
188545,Robert Lewandowski,FC Barcelona,ST,88,74,89,79,85,44,84,Poland,LALIGA EA SPORTS,37,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/188545_en.webp
231478,Lautaro Martínez,Lombardia FC,ST,88,81,88,75,84,51,83,Argentina,Serie A Enilive,28,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231478_en.webp
233731,Alexander Isak,Liverpool,ST,88,83,89,73,85,39,76,Sweden,Premier League,26,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/233731_en.webp
256790,Jamal Musiala,FC Bayern München,CAM,88,80,82,80,90,66,65,Germany,Bundesliga,23,4,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256790_en.webp
232580,Gabriel,Arsenal,CB,88,64,44,64,65,88,84,Brazil,Premier League,28,2,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232580_en.webp
246669,Bukayo Saka,Arsenal,RW,88,84,82,85,88,60,73,England,Premier League,24,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246669_en.webp
200389,Jan Oblak,Atlético de Madrid,GK,88,85,90,78,87,46,86,Slovenia,LALIGA EA SPORTS,33,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/200389_en.webp
257534,Cole Palmer,Chelsea,CAM,87,75,83,87,87,50,65,England,Premier League,23,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/257534_en.webp
247635,Khvicha Kvaratskhelia,Paris SG,LW,87,86,80,83,88,58,78,Georgia,Ligue 1 McDonald's,25,5,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247635_en.webp
237383,Alessandro Bastoni,Lombardia FC,CB,87,74,46,75,76,88,82,Italy,Serie A Enilive,26,2,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/237383_en.webp
215441,Serhou Guirassy,Borussia Dortmund,ST,87,72,88,76,83,45,83,Guinea,Bundesliga,30,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/215441_en.webp
192985,Kevin De Bruyne,SSC Napoli,CM,87,66,83,92,84,65,72,Belgium,Serie A Enilive,34,5,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192985_en.webp
228702,Frenkie de Jong,FC Barcelona,CM,87,82,71,85,87,78,77,Holland,LALIGA EA SPORTS,28,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/228702_en.webp
256079,Moisés Caicedo,Chelsea,CDM,87,71,64,78,81,84,82,Ecuador,Premier League,24,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256079_en.webp
234378,Declan Rice,Arsenal,CDM,87,72,73,84,80,83,83,England,Premier League,27,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234378_en.webp
